elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
10.000029, 10.000029, 31382, 500, 2405.2, 2015, 5038, 7537, 13341, 26081, 0
20.000864, 10.000835, 30439, 512, 2392.3, 2003, 5035, 7407, 12221, 22738, 0
30.000856, 9.999992, 30939, 495, 2384.8, 1990, 5070, 7763, 14588, 22913, 0
40.000897, 10.000041, 31761, 445, 2334.1, 1963, 4857, 7212, 11943, 31172, 0
50.000975, 10.000078, 32162, 428, 2299.7, 1917, 4823, 7344, 13111, 30675, 0
60.000865, 9.99989, 32173, 459, 2292.5, 1898, 4862, 7423, 12739, 28281, 0
70.000864, 9.999999, 32867, 478, 2317.4, 1935, 4896, 7587, 13123, 24479, 0
80.000887, 10.000023, 33114, 460, 2243.3, 1854, 4762, 7452, 12972, 23381, 0
90.00093, 10.000043, 33519, 434, 2239.8, 1855, 4750, 7321, 13208, 34374, 0
100.000869, 9.999939, 34021, 452, 2210.9, 1839, 4674, 7270, 14033, 20733, 0
110.000901, 10.000032, 34702, 442, 2199.5, 1822, 4664, 7618, 13960, 29786, 0
120.000867, 9.999966, 34096, 415, 2178.1, 1805, 4613, 7450, 14312, 30940, 0
130.000906, 10.000039, 34947, 432, 2182.0, 1819, 4561, 7265, 13918, 28664, 0
140.000869, 9.999963, 35786, 447, 2165.5, 1810, 4548, 7128, 12341, 20679, 0
150.000883, 10.000014, 35985, 393, 2138.3, 1776, 4507, 7124, 13399, 22948, 0
160.000867, 9.999984, 35948, 452, 2149.5, 1782, 4539, 7259, 12976, 23653, 0
170.000874, 10.000007, 36583, 450, 2126.6, 1765, 4454, 7368, 13206, 36371, 0
180.000858, 9.999984, 36275, 418, 2099.8, 1768, 4395, 6826, 12213, 21040, 0
190.000863, 10.000005, 36022, 436, 2135.5, 1768, 4557, 7293, 12727, 20472, 0
200.000853, 9.99999, 36842, 438, 2087.0, 1742, 4410, 6847, 12433, 20700, 0
210.0009, 10.000047, 36599, 437, 2106.5, 1758, 4473, 6957, 11322, 19519, 0
220.000858, 9.999958, 36626, 407, 2095.9, 1732, 4469, 7220, 12424, 24310, 0
230.000867, 10.000009, 36907, 436, 2081.2, 1742, 4372, 6970, 12464, 33444, 0
240.000858, 9.999991, 37338, 459, 2073.7, 1721, 4411, 6955, 12555, 30130, 0
250.000883, 10.000025, 36885, 408, 2087.2, 1729, 4385, 7200, 13121, 23609, 0
260.000973, 10.00009, 37499, 408, 2020.5, 1707, 4163, 6420, 11563, 36802, 0
