elapsed, window, total, successful, failed
9.999955, 9.999955, 28452, 28452, 0
20.000163, 10.000208, 24472, 24472, 0
30.000166, 10.000003, 25087, 25087, 0
40.000163, 9.999997, 25836, 25836, 0
50.000156, 9.999993, 26377, 26377, 0
60.000145, 9.999989, 26658, 26658, 0
70.000191, 10.000046, 27170, 27170, 0
80.000204, 10.000013, 27408, 27408, 0
90.00023, 10.000026, 27094, 27094, 0
100.001165, 10.000935, 28011, 28011, 0
110.000147, 9.998982, 27853, 27853, 0
120.000159, 10.000012, 27528, 27528, 0
130.000224, 10.000065, 28145, 28145, 0
140.000209, 9.999985, 28165, 28165, 0
150.000158, 9.999949, 27822, 27822, 0
160.000152, 9.999994, 28037, 28037, 0
170.000223, 10.000071, 28327, 28327, 0
180.000182, 9.999959, 27562, 27562, 0
190.000233, 10.000051, 28291, 28291, 0
200.000152, 9.999919, 28263, 28263, 0
210.00024, 10.000088, 27425, 27425, 0
220.00015, 9.99991, 28346, 28346, 0
230.000154, 10.000004, 28510, 28510, 0
240.000156, 10.000002, 27604, 27604, 0
250.000156, 10.0, 28386, 28386, 0
260.000153, 9.999997, 28427, 28427, 0
270.000144, 9.999991, 27514, 27514, 0
280.000156, 10.000012, 28501, 28501, 0
290.000145, 9.999989, 28174, 28174, 0
300.000148, 10.000003, 27633, 27633, 0
310.000183, 10.000035, 28229, 28229, 0
320.000157, 9.999974, 28378, 28378, 0
330.000233, 10.000076, 27662, 27662, 0
340.000154, 9.999921, 28509, 28509, 0
350.000213, 10.000059, 28474, 28474, 0
360.000199, 9.999986, 27837, 27837, 0
370.000155, 9.999956, 28424, 28424, 0
380.000155, 10.0, 28263, 28263, 0
390.000155, 10.0, 27538, 27538, 0
400.000153, 9.999998, 28233, 28233, 0
410.000163, 10.00001, 28268, 28268, 0
420.000192, 10.000029, 27622, 27622, 0
430.000156, 9.999964, 28427, 28427, 0
440.000152, 9.999996, 28312, 28312, 0
450.000143, 9.999991, 27689, 27689, 0
460.000157, 10.000014, 28483, 28483, 0
470.000176, 10.000019, 28385, 28385, 0
480.000202, 10.000026, 27669, 27669, 0
490.000158, 9.999956, 28216, 28216, 0
500.000173, 10.000015, 28173, 28173, 0
510.000154, 9.999981, 27532, 27532, 0
520.000148, 9.999994, 28443, 28443, 0
530.000158, 10.00001, 28469, 28469, 0
540.000152, 9.999994, 27732, 27732, 0
550.00016, 10.000008, 28456, 28456, 0
560.000154, 9.999994, 28261, 28261, 0
570.000168, 10.000014, 27670, 27670, 0
580.000147, 9.999979, 28398, 28398, 0
590.000158, 10.000011, 28418, 28418, 0
600.000162, 10.000004, 27695, 27695, 0
610.000156, 9.999994, 28256, 28256, 0
620.000156, 10.0, 28322, 28322, 0
630.000154, 9.999998, 27874, 27874, 0
640.000162, 10.000008, 28220, 28220, 0
650.000154, 9.999992, 28341, 28341, 0
660.000222, 10.000068, 27589, 27589, 0
670.000179, 9.999957, 28317, 28317, 0
680.000155, 9.999976, 28359, 28359, 0
690.000155, 10.0, 27550, 27550, 0
700.000163, 10.000008, 28299, 28299, 0
710.000154, 9.999991, 28449, 28449, 0
720.000166, 10.000012, 27545, 27545, 0
730.000157, 9.999991, 28212, 28212, 0
740.000161, 10.000004, 28258, 28258, 0
750.00018, 10.000019, 27734, 27734, 0
760.000157, 9.999977, 28568, 28568, 0
770.000149, 9.999992, 28192, 28192, 0
780.000154, 10.000005, 28072, 28072, 0
790.000156, 10.000002, 28057, 28057, 0
800.000169, 10.000013, 28273, 28273, 0
810.000158, 9.999989, 27933, 27933, 0
820.000192, 10.000034, 28180, 28180, 0
830.000164, 9.999972, 28382, 28382, 0
840.000183, 10.000019, 27692, 27692, 0
850.000156, 9.999973, 28296, 28296, 0
860.000164, 10.000008, 28363, 28363, 0
870.000161, 9.999997, 27710, 27710, 0
880.000154, 9.999993, 28306, 28306, 0
890.000219, 10.000065, 28570, 28570, 0
900.00026, 10.000041, 27794, 27794, 0
910.000166, 9.999906, 28264, 28264, 0
920.000148, 9.999982, 28378, 28378, 0
930.001668, 10.00152, 27715, 27715, 0
940.000152, 9.998484, 28221, 28221, 0
950.000208, 10.000056, 28359, 28359, 0
960.00016, 9.999952, 27712, 27712, 0
970.000234, 10.000074, 28515, 28515, 0
980.000158, 9.999924, 28472, 28472, 0
990.000155, 9.999997, 27534, 27534, 0
1000.000147, 9.999992, 28459, 28459, 0
1010.000156, 10.000009, 28321, 28321, 0
1020.000156, 10.0, 27764, 27764, 0
1030.000157, 10.000001, 28148, 28148, 0
1040.00026, 10.000103, 28256, 28256, 0
1050.000181, 9.999921, 27770, 27770, 0
1060.000155, 9.999974, 28151, 28151, 0
1070.000204, 10.000049, 28304, 28304, 0
1080.000142, 9.999938, 27687, 27687, 0
1090.000204, 10.000062, 28015, 28015, 0
1100.000154, 9.99995, 28444, 28444, 0
1110.000213, 10.000059, 27819, 27819, 0
